genes,baseMean,log2FoldChange,lfcSE,pvalue,padj
Rps26,11278.160864887668,0.1121665100538663,0.03150619540256934,3.687169822502219e-6,2.686577280384331e-4
Kdm2b,193.05622926904687,-0.26416278827847756,0.07575712933335363,3.824008780553358e-6,2.770450906865675e-4
Ly6g,1.8067494904372718,-1.4775638537915259,0.8718380362472675,4.322911902274277e-6,3.1142061958135196e-4
Lgals3bp,288.9913272808732,-0.2518960804840264,0.0739451777092787,4.355026457522444e-6,3.1197158629139713e-4
Unc93b1,87.82609579324031,-0.3060873559182536,0.08724792748805807,4.5487166273800785e-6,3.240261771828122e-4
Ly75,151.7786363412356,-0.23535135220430142,0.07071114760170334,4.65481775846333e-6,3.2974211798981063e-4
Hif1a,979.8928085472814,-0.1324208519201633,0.041143091893271325,5.002904291834618e-6,3.524421691999073e-4
Gbp2b,35.19375062615075,-1.223447854646437,0.44459640713898346,5.086689053224884e-6,3.5442826293809014e-4
Trib2,361.5364417644905,0.1942551498575648,0.061639026038552897,5.086524513732945e-6,3.5442826293809014e-4
4933412E12Rik,53.284908648069475,-0.36690673399192514,0.10558913493600253,5.443754761501332e-6,3.772462878473015e-4
Txn1,1389.250414489617,-0.13472452584042646,0.04257031444496644,5.718370787689081e-6,3.941348427774242e-4
mt-Atp6,7072.529158427268,0.0707283890641912,0.01701070447897995,5.769361848421822e-6,3.955114673614336e-4
Maml2,187.6474894012014,-0.23332592128881455,0.07180420678791405,5.814776026903548e-6,3.956863909461648e-4
Tmem65,60.05063888999501,-0.3422323859038912,0.0994027885874718,5.833977060456354e-6,3.956863909461648e-4
Rps17,3008.8949773150207,0.10050548527400945,0.027536807748221266,5.908412479147178e-6,3.9861464297145856e-4
Csnk2b,1077.2413315047982,-0.09760547204311369,0.026565809277799314,6.666778770211047e-6,4.4741103209979503e-4
Psme2b,109.43757991601075,-0.25067811244250804,0.077071704272103,6.788984254064083e-6,4.52210942701292e-4
Soat2,21.320716145506978,-0.6154667866312017,0.19296389776052783,6.809230726895779e-6,4.52210942701292e-4
C130026I21Rik,17.024788230089598,-0.5853642882112962,0.18241550407316776,7.173015903663912e-6,4.739022061534639e-4
Tnip3,54.53435669411691,-0.5447966941344103,0.16804120240278064,7.494377631658644e-6,4.908109925637487e-4
Riok1,227.08146213735355,-0.1559204938915472,0.05198107226322514,7.505932362162262e-6,4.908109925637487e-4
Vamp8,1026.098746361793,-0.10545231960639205,0.03023862754845035,7.5965500943485835e-6,4.942020931277489e-4
Pfkp,320.8796616891854,-0.18042812498215863,0.06075010086320536,8.593479653628e-6,5.562206043827951e-4
Ppp1r14b,448.93102808527345,0.1734821612178153,0.058846882272225516,8.98391876083878e-6,5.785552935326024e-4
Rpl28,10294.597172908869,0.07977607201374484,0.020358677214274975,9.055611416915678e-6,5.802417144577478e-4
Trim12c,252.64702147154543,-0.16346108405126214,0.05583301162586924,9.558663208571803e-6,6.094125728624953e-4
Arsb,103.35410951329683,-0.399326165175522,0.12472237521964712,1.0603534443882082e-5,6.726650134026887e-4
Tspan31,173.12176328115746,0.19958982958545166,0.06791493107367072,1.1136136862605214e-5,7.029548571043519e-4
Enpp5,10.801422604960177,-0.7211211141187438,0.2594778692662266,1.121024634297309e-5,7.041470498485216e-4
Vps13a,247.52999550984208,-0.20218288559392333,0.06876622073803214,1.134291946048794e-5,7.089880688268712e-4
Gpr155,79.09750385126979,-0.3716057563057276,0.11699321138478817,1.1431069648860062e-5,7.110125321590959e-4
Pde2a,309.80232489392944,0.15018032620480296,0.051814662064413,1.1553300549832022e-5,7.151268704413015e-4
Rnf138,359.7686863970958,-0.19946143662813545,0.0682423335948711,1.1729511500447482e-5,7.225265755662118e-4
Tnfrsf25,197.87828757861413,0.3348843160969748,0.10621901196720482,1.2030704922465047e-5,7.375169157036145e-4
mt-Nd4l,3035.4766196242417,0.11936659231867612,0.038625485466562116,1.380248977788638e-5,8.420839576929629e-4
Ogfr,354.4292112234317,-0.11996207321274766,0.03899990730270313,1.4114974979069122e-5,8.53309759117249e-4
Rps8,16737.86083267112,0.12336680357157873,0.04067952722070547,1.4120332458139716e-5,8.53309759117249e-4
Rab19,229.97226310399435,-0.20701781243352302,0.07203599697488956,1.4641746186220278e-5,8.806457812287489e-4
