genes,baseMean,log2FoldChange,lfcSE,pvalue,padj
Bmyc,145.11260508277257,-0.34244997171816616,0.07233226193751117,4.442511149156138e-8,2.854531183487189e-6
Trip4,142.02968121460057,0.3406648714949221,0.07209514971484055,4.561689601499146e-8,2.916811087631747e-6
Trp53i11,404.3072276649313,0.16413484649353027,0.03463763811935341,4.698810891525293e-8,2.9754595732422e-6
Sesn3,257.46469541831135,-0.21764488507320282,0.04652812263007713,4.686067791907473e-8,2.9754595732422e-6
Mtss1,27.66321161331967,-0.6909060464436578,0.14467044665576395,4.8896584316874494e-8,3.081425130892264e-6
1110032F04Rik,22.83700749819205,-0.8359349120984924,0.1828374747124542,4.963057085558748e-8,3.112715419976271e-6
Gm19705,102.89777873506571,0.4010912665576006,0.08346417734887716,5.383591254401307e-8,3.3603863886996346e-6
Pik3ap1,13.698288428297417,0.776755316536324,0.16805098385446365,5.630040469530074e-8,3.497562581734607e-6
Ptprc,4518.36280925033,0.09914411054526713,0.020613929787340692,6.160228806137292e-8,3.8088810939079067e-6
Maz,318.9266117387706,-0.1742859386427038,0.03729543535207719,6.286371163777135e-8,3.8686269114925204e-6
Cdc14b,35.7997774267809,-0.4862054655969059,0.100074305726848,6.470317573530849e-8,3.9632206894318864e-6
Nucb2,35.65692612421983,-0.5579554803824123,0.11527706073978598,6.881694898681334e-8,4.195593336368136e-6
Ptpn1,695.5141532327054,-0.1666917511237825,0.03582742566048082,7.019408963648116e-8,4.240111184124401e-6
Snx9,200.67925265450526,0.376359783082666,0.08004548178779161,7.00215136125424e-8,4.240111184124401e-6
Supt4a,1145.9938371155233,0.10214999546128202,0.021450894134710952,7.061581852643568e-8,4.246019033231738e-6
Klrg1,599.5395208702471,0.6123741653530421,0.12813009217757884,7.461880887473264e-8,4.466225327534226e-6
Ctsd,921.782283505925,0.23677020796329604,0.05232310260125686,8.290588329306414e-8,4.939683264570385e-6
Satb1,778.9078580425157,0.25355384049446905,0.056266322584859176,8.450370322512428e-8,5.012101999434068e-6
Add3,575.6549912537872,-0.2628248876308873,0.058542618887324295,8.99308703438272e-8,5.309972290391382e-6
Trafd1,187.92359714618414,0.2227114157967101,0.04922765093258372,9.10219198490915e-8,5.3502929389322485e-6
Btg1,2090.7502018107234,-0.2744214513661422,0.061263755956061774,9.46162496018016e-8,5.53674017759114e-6
Icosl,35.00459889901088,0.5366571825502281,0.11241021524762645,9.552624699636116e-8,5.56140841621248e-6
Xdh,114.78515143456953,0.36253197958537314,0.07873804207688291,9.588635200366344e-8,5.56140841621248e-6
B4galnt1,656.3354346540007,0.17566568491758616,0.038447382039858376,1.0084297971897937e-7,5.823126776019302e-6
Nup153,335.0501639662144,-0.274840099740518,0.06159555755529975,1.0238760637176242e-7,5.886389229478341e-6
Akt3,108.30174278824992,-0.4369858686728638,0.09315513155843536,1.1273790648339633e-7,6.453137459320346e-6
Atad2,153.22159231876844,-0.26001289277316914,0.0585783454529237,1.1332951042671746e-7,6.458796620319185e-6
Bspry,31.201533667584883,0.6569003781451633,0.14203588027614003,1.1687933556093712e-7,6.632269829146164e-6
Igfbp4,253.83137519455013,-1.0658641175251564,0.25262780085622605,1.1815301506362845e-7,6.675645351095007e-6
Sytl2,189.66073506853203,0.3720121192722408,0.08140069596311438,1.2067916610826874e-7,6.789109482176767e-6
Gyg,289.1004802920413,0.23950160716084323,0.05406186919508311,1.2519929807309844e-7,7.013300851034933e-6
Tead1,25.98408498775602,-0.7869070393590321,0.1783015334334897,1.31963288963094e-7,7.360743794588239e-6
Reep5,1037.3100565865939,-0.1591330031656525,0.035355344870365346,1.4204361737851098e-7,7.889439561853906e-6
Sept1,2876.813270104412,0.10799386934843361,0.02355506695932889,1.4283480094418875e-7,7.89990958133513e-6
Odc1,343.8376808215076,0.3018833269096806,0.06890688903274213,1.6171240829257393e-7,8.906412806298568e-6
Chn2,36.322328750998096,-0.5119451779879469,0.1102038635335832,1.6694325750044016e-7,9.117884247149041e-6
Arhgap31,234.2070486012214,-0.24450435521825015,0.05607456697195386,1.6665219537996693e-7,9.117884247149041e-6
Myo9a,80.8421077339725,-0.3579627932590103,0.0801650154726162,1.6879316660967548e-7,9.180667335766084e-6
Epas1,80.72185766399228,0.742996365738997,0.16844875054315014,1.7308573152619984e-7,9.375238714237304e-6
Slc2a1,151.32986824042757,0.23371021683114496,0.053631415025726374,1.772207715971628e-7,9.559711416031316e-6
Elk3,153.49519008657225,-0.22217696028751716,0.0508336146628565,1.7980411141254022e-7,9.659312673752365e-6
Bid,106.8513720527914,0.3136647716013639,0.07189210531960624,1.8740233673627767e-7,1.0026407469139296e-5
Arl4c,424.683817767821,-0.2348016134465849,0.05414825129873034,1.9335337466172906e-7,1.0302748110024164e-5
Pkm,2330.2294135455736,0.16444654837323283,0.03712807621843385,1.9440235347213948e-7,1.0316704653088276e-5
Acod1,1.647120897235905,2.080520304196263,0.5256633277370589,2.059526571806944e-7,1.0885594477115089e-5
Sf3b1,1396.2275518358376,-0.11073046818634505,0.02474244487556779,2.259455788359333e-7,1.1894356013579975e-5
Nck2,193.4745044989434,0.30086636546818873,0.07012585061413376,2.3808575934049311e-7,1.2483312533740736e-5
