genes,LD1,LD2,LD3
Ufc1,-0.013917809055022108,0.010673459165567485,0.036613401331225905
Usf1,-6.879629694124729e-4,0.05018423981659946,0.009018892568089453
Cd84,0.014380100494402599,0.039207174676651246,0.020555896019391253
Copa,0.017972320836218286,-0.031964255741067496,0.006567805711935198
Tagln2,0.006997380164576402,0.044935990892196666,0.02030831783211193
Aim2,-0.010020285685724,0.012568790917522322,-1.4454938939993529e-4
Ifi206,0.02031405140612785,0.022485997455187316,-0.023785772884522587
Ifi209,0.020552595818227933,0.005588334726835764,0.01906900847037826
Ifi208,0.011646116697316565,-0.009841829382750219,0.012159487224388208
Desi2,-4.5262995342960834e-4,-0.0015175260535954503,0.040106722732819525
Hnrnpu,-0.014434567741690522,-0.029310661778397046,0.012458937783780485
Smyd3,-0.008358790024089601,-0.0016597622194396353,0.008985654469021541
Tfb2m,-0.006068158877971001,0.01754233786697647,0.039930338491441605
Cnst,0.025141519811943604,0.013874540822527615,-0.03814670271025251
Parp1,-0.0069036647713557105,-7.740776233971258e-4,0.004357886832850698
Ephx1,0.017045148876041902,0.04052812135151039,0.023614090719325184
Wdr26,0.00483800805719016,0.024908559037254037,-0.026320705252309316
Degs1,-0.013294450083994507,-0.026054322420569175,0.06520709274285597
Capn2,0.011391659240136338,-0.007763281578654398,-0.018829799106564387
Brox,-0.008953764571179405,-0.022792815148310785,0.020132059927789055
Aida,-0.009226360579651894,-0.014004924447772274,0.008490711699676832
Mia3,-0.003334092652296467,-0.001467309752939584,-0.016890870532383223
Dusp10,0.01795245793618267,-0.004944537299671374,-0.024371982382519124
Rab3gap2,-0.005600252007530021,0.0017400920589355558,9.668440863289594e-4
Gpatch2,0.017009603325170913,0.04195781431925552,-0.0230998085238999
Lpgat1,-0.013083716034725005,-0.00811860039070701,8.280687147597023e-4
Traf5,-0.03499610962135817,0.012652826772697592,-0.021991257211437576
Hsd11b1,0.017880505784839986,0.0039192755262325825,0.01820488366208127
Cr1l,0.004996716474167036,0.019219631610961234,0.00573419044391757
Sephs1,0.0032445946052250593,-1.8486520269294623e-4,-0.00661565771625006
Cdc123,-0.005832040741672488,-0.010240198767837817,0.02737603299367336
Itih5,0.03405035482025426,0.02198061947513958,-0.03057541874557174
Pfkfb3,0.005621216584195849,-0.01353058464087357,0.014279020838521582
Rbm17,0.002366598116027313,0.0068637738290834305,0.019477523134456692
Mindy3,0.032084931213188755,0.009111570517264586,0.021194670542958174
Pip4k2a,0.004418380828799041,-0.007862647416382158,-0.021254391579123105
Spopl,-0.006914517376863386,0.018362805623238165,0.03263589899794485
Psd4,0.0010185799533372418,-0.03798908843954714,0.030738361455056422
Pnpla7,-0.008826997092639843,0.017518208310255457,-0.02051082335480297
Tubb4b,-0.004251840054624078,0.031757288792675364,0.003749133265251502
Uap1l1,-0.022345691747037474,-0.01054622473231247,-0.016111314253497416
Edf1,0.01629047850467288,-0.024974330795576136,0.014964268580962836
Dnlz,-0.023846971862805634,0.0032681810202182236,0.013759611010740934
Pmpca,0.005242923187728818,0.002918996093498948,-0.026607062743233944
Sec16a,-0.011415081035524754,-0.005640342153702148,-0.01628495405638517
Vav2,0.039461106448899386,-0.028582652873490797,0.0068854306375121885
Setx,-0.011172588719192586,-0.02920957536786796,-0.0027394263070024925
Asb6,-0.008939794811200044,0.003928775522202915,-0.016895889901138352
Fnbp1,-0.024634170497639517,-0.03237920621759771,0.04440418489992971
Fam78a,-3.1308192702419134e-4,0.0042535031103612345,-0.008001163430611125
Golga2,-0.0037746847996494386,-0.015217992342796994,0.00569652749522984
